,nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
428,26007.95,1660.25,27668.2,27224.14,1752.33
429,26742.9,1630.95,28373.85,26821.72,1720.18
430,27744.7,1688.9,29433.6,26561.51,1696.3
431,27529.3,1680.2,29209.5,26577.66,1687.87
432,27567.55,1718.4,29285.95,26700.76,1690.5
433,27584.65,1719.05,29303.7,26894.95,1693.54
434,26452.0,1665.85,28117.85,26886.69,1688.36
435,24200.2,1625.6,25825.8,26660.85,1678.54
436,25037.1,1647.25,26684.35,26516.87,1672.21
437,24526.5,1595.5,26122.0,26339.28,1663.2
438,24210.0,1538.0,25748.0,26159.49,1650.97
439,24857.45,1511.7,26369.15,25970.95,1639.04
440,24936.6,1533.85,26470.45,25690.14,1623.54
441,25932.65,1569.9,27502.55,25530.47,1612.51
442,26501.55,1649.65,28151.2,25423.87,1605.64
443,26824.1,1664.25,28488.35,25347.82,1600.16
444,25691.8,1611.0,27302.8,25271.8,1594.67
445,25979.55,1614.15,27593.7,25449.73,1593.52
446,26779.05,1605.5,28384.55,25623.92,1589.35
447,26737.0,1612.45,28349.45,25844.97,1591.04
448,27234.25,1686.55,28920.8,26147.4,1605.9
449,26436.75,1650.8,28087.55,26305.33,1619.81
450,25130.25,1571.8,26702.05,26324.69,1623.6
451,25182.7,1567.4,26750.1,26249.7,1623.35
452,24909.6,1520.3,26429.9,26090.5,1610.42
453,26382.65,1592.5,27975.15,26046.36,1603.24
454,26645.05,1612.25,28257.3,26141.68,1603.37
455,26179.6,1611.2,27790.8,26161.69,1603.08
456,25034.15,1594.9,26629.05,25987.2,1602.02
457,23761.5,1567.0,25328.5,25689.65,1597.47
458,23603.1,1565.75,25168.85,25326.53,1585.39
459,22944.25,1559.85,24504.1,24977.28,1576.3
460,23183.7,1566.9,24750.6,24782.63,1575.8
461,23387.9,1570.85,24958.75,24603.15,1576.15
462,23811.45,1629.9,25441.35,24493.34,1587.11
463,23972.25,1637.65,25609.9,24252.3,1591.62
464,24747.6,1668.15,26415.75,24062.55,1597.22
465,25022.85,1686.55,26709.4,23946.88,1604.75
466,24525.9,1748.25,26274.15,23896.05,1620.08
467,24715.3,1732.15,26447.45,23991.43,1636.6
468,24222.7,1658.85,25881.55,24053.39,1645.91
469,24244.85,1662.15,25907.0,24183.45,1656.14
470,25050.35,1734.25,26784.6,24370.12,1672.88
471,25486.6,1748.2,27234.8,24579.98,1690.61
472,26088.45,1742.2,27830.65,24807.69,1701.84
473,24426.1,1674.4,26100.5,24853.07,1705.52
474,23886.45,1623.45,25509.9,24766.96,1701.04
475,23809.3,1618.25,25427.55,24645.6,1694.22
476,24715.6,1670.4,26386.0,24664.57,1686.43
477,24797.2,1646.75,26443.95,24672.76,1677.89
478,24837.85,1639.6,26477.45,24734.28,1675.96
479,25033.45,1642.9,26676.35,24813.14,1674.04
480,25096.25,1676.25,26772.5,24817.72,1668.24
481,24401.5,1634.55,26036.05,24709.22,1656.88
482,25750.9,1532.8,27283.7,24675.46,1635.94
483,27256.25,1649.1,28905.35,24958.48,1633.4
484,27489.75,1757.6,29247.35,25318.8,1646.82
485,27485.1,1775.7,29260.8,25686.38,1662.56
486,27645.85,1728.1,29373.95,25979.41,1668.33
487,27760.45,1774.5,29534.95,26275.74,1681.11
488,28008.25,1789.85,29798.1,26592.78,1696.14
489,28153.55,1800.25,29953.8,26904.79,1711.87
490,27720.55,1771.9,29492.45,27167.22,1721.44
491,27364.5,1782.45,29146.95,27463.52,1736.22
492,27121.3,1789.4,28910.7,27600.56,1761.89
493,27421.85,1801.85,29223.7,27617.12,1777.16
494,27139.25,1781.3,28920.55,27582.06,1779.53
495,26934.1,1776.25,28710.35,27526.96,1779.58
496,26662.55,1712.0,28374.55,27428.64,1777.98
497,26677.95,1740.05,28418.0,27320.38,1774.53
498,26791.05,1787.75,28578.8,27198.66,1774.32
499,26370.4,1788.8,28159.2,27020.35,1773.18
500,25554.9,1710.8,27265.7,26803.78,1767.06
501,25218.85,1712.1,26930.95,26589.22,1760.03
502,23843.4,1693.7,25537.1,26261.43,1750.46
503,22249.9,1567.6,23817.5,25744.23,1727.04
504,21468.4,1438.75,22907.15,25177.15,1692.78
505,21463.05,1433.6,22896.65,24630.04,1658.52
506,21385.85,1468.1,22853.95,24102.37,1634.13
507,21315.45,1451.45,22766.9,23566.12,1605.27
508,22050.65,1487.3,23537.95,23092.08,1575.22
509,22663.1,1517.6,24180.7,22721.36,1548.1
510,22725.55,1490.1,24215.65,22438.42,1526.03
511,22892.95,1473.3,24366.25,22205.83,1502.15
512,23034.85,1496.5,24531.35,22124.98,1482.43
513,22859.95,1472.35,24332.3,22185.98,1472.9
