nb_A,nb_W,nb_A_W,nb_implicit_W,nb_dup_A,nb_dup_W,nb_A_prefix,nb_W_prefix,max_A_prefix,avg_A_prefix,max_A_AS,avg_A_AS,nb_new_A,nb_new_A_afterW
34620.4,1978.9,36599.3,15495.75,10613.6,24.8,4747.05,370.2,1248.85,12.45,9414.4,72.8,7178.2,1332.85
36676.6,2063.25,38739.85,16139.6,10938.3,24.7,5706.75,384.8,1248.2,11.55,9542.3,70.1,8225.05,1373.65
37317.05,2082.35,39399.4,16321.05,11283.55,24.4,6072.3,393.55,1235.35,11.1,9519.15,68.25,8338.75,1373.7
37777.35,2061.8,39839.15,16494.55,11518.45,25.15,6235.7,400.05,1234.1,11.05,9485.85,69.55,8412.3,1352.05
37423.5,2033.2,39456.7,16189.3,11518.65,24.05,6333.25,384.2,1218.25,10.5,9369.4,66.35,8376.3,1339.25
39304.1,2177.85,41481.95,16818.65,12656.45,23,6471.35,421.05,1219.8,10.55,11177.95,65.9,8369,1460
41290.95,2262.45,43553.4,17848.5,13000.15,27.75,6603.55,445.45,1232.75,10.7,11368.45,65.9,8914.2,1528.1
41881.5,2275.7,44157.2,17964.9,13111.5,29,6951.8,465.45,1246.6,10.55,11318.9,64.35,9274.25,1530.85
41280.3,2299.45,43579.75,17760.7,12642.1,29.3,6806.65,475.8,1255.45,10.7,10970.55,64.9,9341.15,1536.35
41526.3,2314.35,43840.65,17847.05,12656.5,23.25,6899.35,471.1,1259.55,9.85,10980.85,61.1,9470.2,1552.55
44723.6,2504.95,47228.55,19783,13677.35,22.9,6933.25,549.4,1249.15,10.65,13922.9,70.5,9508.95,1754.3
45136.85,2543.5,47680.35,20136.4,13668.95,27.55,6794.75,557.45,1249.6,10.9,14211.65,72.5,9550.5,1781
45249.5,2556.15,47805.65,20133.6,13780.55,28.05,6898,558.65,1240.5,10.05,14220.45,69.4,9558.05,1777.3
45434.85,2567.25,48002.1,20135.25,13898.3,28.25,7452.45,554.35,1226.2,8.75,13833.9,63.95,9623.4,1777.9
49360.75,2525.1,51885.85,20617.1,14266.55,26.65,7941.05,545.35,1204.85,8.75,13487.3,64.1,12714.7,1762.4
51301.25,2502.5,53803.75,20799.75,14634.6,21.85,8440.3,540.65,1200.95,8.55,13593.75,63.2,14115.4,1751.5
51228.35,2499.95,53728.3,20772.1,14648.55,23.25,8428.55,543.8,1190.35,8.65,13615.9,64.5,14060.5,1747.2
49322.75,2381.5,51704.25,19720.25,13905.35,22.45,8346.3,481.95,1190.6,8.9,11787.5,58,14093.65,1603.5
47411.75,2407.3,49819.05,19918.85,13672.65,23.45,7533.3,510,1210.35,9.2,11417.75,58.95,12209.5,1610.75
40799.7,2229.3,43029,18376.7,12167.35,23.35,6286.75,453.65,1233.3,10,8918.35,59.8,8835.6,1420.05
40331.3,2253.15,42584.45,18336,11787.65,23.5,6140.25,461.85,1257.3,10.4,8656.8,60.75,8775.45,1432.2
38798.95,2206.85,41005.8,18136.7,11549.3,23.35,5225.35,453.25,1263.55,11.05,8623.9,63.1,7709,1403.95
41189.65,2433.65,43623.3,19715.8,12042.65,23.55,4954.7,516.8,1273.95,12,10635.75,69.4,7913.3,1517.9
43577.8,2585.9,46163.7,20989.1,12896.4,27.95,4809.5,584.1,1268.9,12.75,12599.05,73.85,8016.45,1675.85
44371.9,2587.45,46959.35,21426.45,13268.3,27.95,4789.75,581.2,1283.4,13.05,12804.15,76.7,7998,1679.15
43003.85,2416.1,45419.95,21006.45,12476.4,29.1,4767.1,527.05,1278.75,12.8,10972.3,76,7974,1547
40944.3,2333.9,43278.2,20005.8,11979.4,25.65,4604.6,516.5,1271.8,12.65,10820.55,75.85,7492.35,1466.75
40070.35,2305.3,42375.65,19762.55,11682.6,25.35,4121.15,494.35,1270.7,13.25,10823.5,78.55,7166.85,1458.35
39782.8,2273.1,42055.9,19621.45,11596.65,25.35,4044.15,477.35,1263.8,13.75,10823.45,80.5,7114.7,1450
39405.95,2226.6,41632.55,19472.35,11512.75,25.15,3977.75,469.45,1270.6,13.95,10801.55,81.4,6992.05,1428.8
36106.4,2027.4,38133.8,17475.1,10372.3,25.15,3853.7,413.55,1274.8,13.55,7865.1,73.9,7033.15,1225.85
35762.75,2009.25,37772,17185.25,10233.1,21.05,3768.2,425.95,1272.4,13.9,7577.95,75.05,7147.45,1196.95
35791.6,2019.6,37811.2,17198.65,10245.75,21,3692.2,424.8,1256.05,14.35,7641.7,76.6,7149.55,1197.65
36139.2,2073.85,38213.05,17140.25,10613.3,21.55,3154.65,464.85,1271.2,15.7,8379.9,85.05,7175.45,1210.2
35022.5,2490.35,37512.85,18111.8,11023.85,34.5,2721.85,494.15,1293.25,16.05,11284.25,88.25,4488.6,1398.25
33368.15,2521.85,35890,18034.9,10630,32.25,2194.7,488.7,1310.9,16.55,11213.95,88.8,3284.15,1419.1
33544.05,2543.8,36087.85,18144,10649.9,31.15,2176.6,488.2,1320.15,17.35,11229.15,90.35,3315.5,1434.65
34860.25,2492.9,37353.15,18165.15,11147.8,31.6,2723.5,493.8,1334.7,16.05,11258.2,86.65,4122.6,1424.7
35392.6,2488.05,37880.65,18203.4,11555.05,31.7,2885.95,466.3,1344.55,15.9,11476.75,85.8,4194.55,1439.6
37995.35,2518.15,40513.5,19235.65,12531.2,40.9,2986.7,487.1,1337.25,16.05,12522.55,92.3,4778.35,1450.15
39725.85,2568.7,42294.55,20260.45,13059.3,64.15,3166.15,508.9,1330.55,15.9,12954.6,92.6,4949.3,1456.8
39340.75,2532.65,41873.4,19951.1,12998.55,64.65,3166.3,513.2,1323.6,15.7,12869.15,92.95,4954.75,1436.35
36386.9,2308,38694.9,18249.75,12101.05,66.3,3029.25,447.95,1327.25,16.05,10882.3,90.15,4707.45,1328.65
33295.75,2126.1,35421.85,16774.7,10858.65,62.7,2884.1,375.75,1334.6,15.95,8915.95,85.25,4512.55,1149.85
32504.35,2105.25,34609.6,16319.45,10554.45,62.9,2990.7,375.75,1338,15.6,8708.85,82.3,4486.15,1144.3
31818.7,2094.5,33913.2,16032.8,10139.25,61.6,2832.5,365.1,1344.2,16.15,8741.25,84.25,4494.65,1152
