nb_A,nb_W,nb_A_W
22495.6,1848.8,24328.75
22397.0,1841.85,24223.05
22389.95,1838.8,24226.65
21959.8,1838.95,23798.15
21141.3,1688.1,22828.85
21129.9,1664.75,22794.05
21031.8,1640.3,22671.5
22117.2,1721.65,23838.25
22217.7,1714.15,23930.75
22213.4,1685.9,23898.2
21991.9,1696.05,23686.8
21758.8,1714.15,23471.75
21912.0,1744.6,23655.45
22313.2,1782.1,24093.65
22146.45,1831.5,23976.35
22357.4,1832.55,24188.3
22332.15,1834.8,24165.25
21878.5,1824.65,23700.9
20896.8,1834.95,22727.8
21151.5,1847.85,22995.15
21492.45,1859.35,23347.4
22121.95,1864.55,23982.2
23238.45,1911.3,25145.45
25839.05,2014.35,27849.2
26929.35,2106.6,29031.15
27181.95,2158.5,29335.65
27359.55,2216.1,29570.85
26342.05,2171.0,28508.25
26190.7,2168.8,28355.25
26261.7,2176.05,28433.45
26480.5,2196.5,28672.75
26530.9,2195.65,28722.3
26381.2,2197.65,28574.6
25990.5,2193.05,28179.85
25487.7,2119.55,27603.5
25340.95,2096.6,27433.8
25398.55,2106.35,27501.1
25609.2,2117.05,27723.05
25697.15,2117.35,27812.9
25256.55,2100.6,27355.65
24934.1,2117.3,27050.1
25257.95,2121.05,27377.4
24148.05,2103.85,26250.25
22031.6,2048.85,24078.7
22568.0,2196.55,24763.4
24538.55,2333.25,26870.65
25089.65,2324.75,27413.25
26434.15,2314.0,28746.3
26808.0,2312.55,29118.4
26854.2,2310.15,29161.55
26626.75,2276.55,28900.5
26713.8,2264.9,28975.95
27249.1,2250.65,29496.3
27172.1,2215.75,29383.65
27184.6,2246.7,29426.45
27138.65,2242.05,29375.85
27072.3,2234.05,29301.55
27908.4,2253.45,30157.05
28239.95,2253.3,30488.5
29105.95,2294.8,31396.15
29792.6,2283.85,32071.85
35096.35,2626.75,37566.8
39976.6,3136.5,42869.35
41932.6,3104.95,44793.5
40697.5,2869.8,43323.25
38526.95,2674.15,40957.05
38057.25,2648.65,40461.85
36843.8,2657.45,39257.9
36341.75,2644.1,38742.75
36246.05,2628.1,38631.45
36675.9,2632.3,39065.45
36935.65,2651.0,39343.85
37546.55,2726.65,40031.05
42678.4,2950.45,45387.4
45480.75,3061.25,48301.2
47590.05,3132.8,50482.1
48166.15,3148.4,51073.8
47388.85,3140.5,50288.6
47148.45,3187.25,50095.0
46427.75,3193.6,49380.65
45643.5,3202.1,48604.9
40140.95,2908.55,42960.8
35702.45,2476.3,38177.55
33399.5,2464.3,35862.95
35233.25,2494.75,37727.15
36409.7,2536.35,38945.25
36455.1,2572.55,39020.35
36599.75,2562.5,39152.85
36911.1,2559.4,39460.45
36934.95,2564.1,39483.15
36598.35,2570.4,39152.85
36325.55,2580.2,38889.9
35320.55,2502.75,37807.4
30437.25,2290.2,32711.5
27684.4,2168.45,29836.9
26972.45,2298.4,29254.9
26968.2,2286.0,29238.25
27006.25,2295.45,29285.45
27005.9,2256.85,29246.4
29976.6,2263.4,32223.6
30596.55,2264.55,32844.7
30191.65,2214.8,32389.8
29937.8,2097.8,32018.9
30370.0,2093.95,32447.25
29124.65,2142.35,31250.3
28883.1,2268.9,31135.3
28951.15,2241.2,31182.15
29239.45,2323.9,31555.25
29218.25,2412.6,31623.4
29867.25,2445.0,32309.95
32022.25,2603.6,34623.6
32572.25,2603.25,35173.25
33051.85,2630.15,35679.75
34210.95,2643.2,36851.95
34544.7,2663.5,37206.05
33475.7,2494.65,35968.0
33376.05,2532.35,35906.1
33369.75,2527.5,35895.25
33507.1,2548.5,36053.7
31172.95,2543.35,33714.45
30918.3,2549.5,33464.0
31947.95,2585.85,34530.3
31780.85,2627.15,34404.55
31544.2,2646.2,34187.0
30834.15,2571.2,33401.95
30433.6,2427.75,32857.9
30897.7,2447.25,33341.25
30862.3,2386.3,33244.8
30793.85,2326.35,33116.45
30248.0,2307.3,32552.55
28357.25,2144.0,30497.95
27918.95,2149.9,30065.55
27331.15,2130.95,29458.9
26251.6,2117.95,28366.35
25942.4,2094.0,28033.05
25675.4,2058.85,27731.0
25736.25,2046.75,27779.75
26003.1,2059.85,28059.7
26996.9,2061.05,29054.65
26876.25,2062.85,28935.75
26812.95,2037.45,28849.05
