nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
24715.3,1732.15,26447.45,23991.43,1636.6
24222.7,1658.85,25881.55,24053.39,1645.91
24244.85,1662.15,25907.0,24183.45,1656.14
25050.35,1734.25,26784.6,24370.12,1672.88
25486.6,1748.2,27234.8,24579.98,1690.61
26088.45,1742.2,27830.65,24807.69,1701.84
24426.1,1674.4,26100.5,24853.07,1705.52
23886.45,1623.45,25509.9,24766.96,1701.04
23809.3,1618.25,25427.55,24645.6,1694.22
24715.6,1670.4,26386.0,24664.57,1686.43
24797.2,1646.75,26443.95,24672.76,1677.89
24837.85,1639.6,26477.45,24734.28,1675.96
25033.45,1642.9,26676.35,24813.14,1674.04
25096.25,1676.25,26772.5,24817.72,1668.24
24401.5,1634.55,26036.05,24709.22,1656.88
25750.9,1532.8,27283.7,24675.46,1635.94
27256.25,1649.1,28905.35,24958.48,1633.4
27489.75,1757.6,29247.35,25318.8,1646.82
27485.1,1775.7,29260.8,25686.38,1662.56
27645.85,1728.1,29373.95,25979.41,1668.33
27760.45,1774.5,29534.95,26275.74,1681.11
28008.25,1789.85,29798.1,26592.78,1696.14
28153.55,1800.25,29953.8,26904.79,1711.87
27720.55,1771.9,29492.45,27167.22,1721.44
27364.5,1782.45,29146.95,27463.52,1736.22
27121.3,1789.4,28910.7,27600.56,1761.89
27421.85,1801.85,29223.7,27617.12,1777.16
27139.25,1781.3,28920.55,27582.06,1779.53
26934.1,1776.25,28710.35,27526.96,1779.58
26662.55,1712.0,28374.55,27428.64,1777.98
26677.95,1740.05,28418.0,27320.38,1774.53
26791.05,1787.75,28578.8,27198.66,1774.32
26370.4,1788.8,28159.2,27020.35,1773.18
25554.9,1710.8,27265.7,26803.78,1767.06
25218.85,1712.1,26930.95,26589.22,1760.03
23843.4,1693.7,25537.1,26261.43,1750.46
22249.9,1567.6,23817.5,25744.23,1727.04
21468.4,1438.75,22907.15,25177.15,1692.78
21463.05,1433.6,22896.65,24630.04,1658.52
21385.85,1468.1,22853.95,24102.37,1634.13
21315.45,1451.45,22766.9,23566.12,1605.27
22050.65,1487.3,23537.95,23092.08,1575.22
22663.1,1517.6,24180.7,22721.36,1548.1
22725.55,1490.1,24215.65,22438.42,1526.03
22892.95,1473.3,24366.25,22205.83,1502.15
23034.85,1496.5,24531.35,22124.98,1482.43
22859.95,1472.35,24332.3,22185.98,1472.9
22909.85,1479.95,24389.8,22330.13,1477.02
23278.65,1468.35,24747.0,22511.69,1480.5
22885.55,1471.75,24357.3,22661.66,1480.87
22426.8,1431.85,23858.65,22772.79,1478.91
22091.0,1378.85,23469.85,22776.82,1468.06
22462.1,1366.1,23828.2,22756.72,1452.91
22786.6,1416.35,24202.95,22762.83,1445.54
24999.6,1419.25,26418.85,22973.5,1440.13
24731.5,1444.2,26175.7,23143.16,1434.9
24511.65,1441.75,25953.4,23308.33,1431.84
24237.55,1439.85,25677.4,23441.1,1427.83
23901.1,1407.45,25308.55,23503.34,1421.74
23261.7,1357.25,24618.95,23540.96,1410.29
23270.0,1349.9,24619.9,23625.28,1402.1
22870.45,1304.35,24174.8,23703.22,1394.64
22674.45,1339.45,24013.9,23724.46,1391.98
23034.65,1371.8,24406.45,23749.27,1387.52
23073.5,1419.45,24492.95,23556.66,1387.54
23422.3,1480.7,24903.0,23425.73,1391.2
24319.65,1618.25,25937.9,23406.53,1408.85
24973.35,1691.85,26665.2,23480.12,1434.05
25411.85,1753.2,27165.05,23631.19,1468.62
25652.8,1789.05,27441.85,23870.3,1511.8
26094.35,1841.7,27936.05,24152.74,1560.98
26313.75,1847.05,28160.8,24497.06,1615.25
26189.25,1840.1,28029.35,24848.54,1665.31
26541.6,1844.75,28386.35,25199.24,1712.61
25233.25,1883.85,27117.1,25415.22,1759.05
25082.95,1854.35,26937.3,25581.28,1796.42
25278.65,1853.3,27131.95,25677.18,1819.92
25626.45,1850.15,27476.6,25742.49,1835.75
25605.15,1862.45,27467.6,25761.82,1846.68
26058.95,1885.2,27944.15,25802.44,1856.29
26107.5,1874.2,27981.7,25803.75,1859.54
25834.0,1870.35,27704.35,25755.78,1861.87
25170.25,1786.9,26957.15,25653.88,1856.55
24809.05,1752.7,26561.75,25480.62,1847.35
24400.3,1739.45,26139.75,25397.32,1832.9
24044.4,1658.95,25703.35,25293.47,1813.37
23119.0,1527.35,24646.35,25077.5,1780.77
