Timestamp,nb_A,nb_W,nb_A_W
2017-07-07 15:39:00,4648,241,4796
2017-07-07 15:39:30,7408,166,7565
2017-07-07 15:40:00,8542,736,9277
2017-07-07 15:40:30,5337,139,5460
2017-07-07 15:41:00,20542,338,20880
2017-07-07 15:41:30,4567,382,4948
2017-07-07 15:42:00,3592,364,3955
2017-07-07 15:42:30,4815,216,5015
2017-07-07 15:43:00,18011,122,18131
2017-07-07 15:43:30,2632,111,2702
2017-07-07 15:44:00,3488,124,3606
2017-07-07 15:44:30,2199,109,2308
2017-07-07 15:45:00,3913,139,4045
2017-07-07 15:45:30,3400,197,3403
2017-07-07 15:46:00,3053,149,3202
2017-07-07 15:46:30,3204,142,3340
2017-07-07 15:47:00,2865,154,3015
2017-07-07 15:47:30,3749,212,3948
2017-07-07 15:48:00,2759,183,2917
2017-07-07 15:48:30,6396,229,6620
2017-07-07 15:49:00,3832,225,4046
2017-07-07 15:49:30,5481,219,5552
2017-07-07 15:50:00,4899,240,5137
2017-07-07 15:50:30,5721,399,6052
2017-07-07 15:51:00,4322,179,4472
2017-07-07 15:51:30,7226,343,7326
2017-07-07 15:52:00,7194,169,7362
2017-07-07 15:52:30,4600,327,4925
2017-07-07 15:53:00,5804,196,5998
2017-07-07 15:53:30,2409,237,2626
2017-07-07 15:54:00,11869,195,11815
2017-07-07 15:54:30,27086,138,26993
2017-07-07 15:55:00,7658,76,7726
2017-07-07 15:55:30,4543,144,4447
2017-07-07 15:56:00,7534,447,7966
2017-07-07 15:56:30,4461,209,4669
2017-07-07 15:57:00,3896,132,4028
2017-07-07 15:57:30,4993,213,5199
2017-07-07 15:58:00,2690,214,2829
2017-07-07 15:58:30,3424,153,3515
2017-07-07 15:59:00,7608,200,7464
2017-07-07 15:59:30,6206,212,6347
2017-07-07 16:00:00,5481,287,5668
2017-07-07 16:00:30,7308,111,7301
2017-07-07 16:01:00,8364,512,8869
2017-07-07 16:01:30,9424,769,10090
2017-07-07 16:02:00,3461,232,3663
2017-07-07 16:02:30,5587,204,5791
2017-07-07 16:03:00,6049,326,6280
2017-07-07 16:03:30,3461,165,3624
2017-07-07 16:04:00,4864,195,5055
2017-07-07 16:04:30,2478,180,2579
2017-07-07 16:05:00,3757,197,3927
2017-07-07 16:05:30,7662,364,7927
2017-07-07 16:06:00,6581,391,6921
2017-07-07 16:06:30,4953,151,5095
2017-07-07 16:07:00,6426,482,6869
2017-07-07 16:07:30,3583,203,3756
2017-07-07 16:08:00,10207,134,10270
2017-07-07 16:08:30,6080,115,6128
2017-07-07 16:09:00,8001,267,8268
2017-07-07 16:09:30,7763,168,7567
2017-07-07 16:10:00,6920,203,7111
2017-07-07 16:10:30,6845,255,6518
2017-07-07 16:11:00,6535,323,6856
2017-07-07 16:11:30,3580,197,3570
2017-07-07 16:12:00,3893,132,3329
2017-07-07 16:12:30,5831,419,6219
2017-07-07 16:13:00,4535,152,4403
2017-07-07 16:13:30,3702,196,3877
2017-07-07 16:14:00,3978,180,4072
2017-07-07 16:14:30,3827,148,3846
2017-07-07 16:15:00,2656,126,2779
2017-07-07 16:15:30,2974,193,3118
2017-07-07 16:16:00,5228,224,5307
2017-07-07 16:16:30,4513,263,4771
2017-07-07 16:17:00,3573,170,3604
2017-07-07 16:17:30,5358,170,5513
2017-07-07 16:18:00,8600,672,9260
2017-07-07 16:18:30,8792,298,8940
2017-07-07 16:19:00,5087,133,5215
2017-07-07 16:19:30,4860,237,5009
2017-07-07 16:20:00,6581,207,6744
2017-07-07 16:20:30,2932,127,3020
2017-07-07 16:21:00,5373,408,5754
2017-07-07 16:21:30,9392,352,9680
2017-07-07 16:22:00,5678,263,5891
2017-07-07 16:22:30,5690,132,5758
2017-07-07 16:23:00,9303,324,9574
2017-07-07 16:23:30,11412,623,11973
2017-07-07 16:24:00,7034,218,7214
2017-07-07 16:24:30,4695,221,4907
2017-07-07 16:25:00,3740,229,3947
2017-07-07 16:25:30,6024,323,5923
2017-07-07 16:26:00,6002,180,6182
2017-07-07 16:26:30,4913,379,5204
2017-07-07 16:27:00,4788,300,5015
2017-07-07 16:27:30,5247,289,5502
2017-07-07 16:28:00,6357,159,6412
2017-07-07 16:28:30,3899,167,4060
2017-07-07 16:29:00,4214,332,4035
2017-07-07 16:29:30,6280,455,6718
2017-07-07 16:30:00,5397,248,5208
2017-07-07 16:30:30,4864,173,4870
2017-07-07 16:31:00,7239,185,7383
2017-07-07 16:31:30,4823,154,4872
2017-07-07 16:32:00,17153,208,17305
2017-07-07 16:32:30,6020,134,6004
2017-07-07 16:33:00,4018,159,4153
2017-07-07 16:33:30,1575,159,1619
2017-07-07 16:34:00,3149,189,3332
2017-07-07 16:34:30,3873,88,3940
2017-07-07 16:35:00,2310,203,2482
2017-07-07 16:35:30,2509,50,2389
2017-07-07 16:36:00,4805,333,5129
2017-07-07 16:36:30,3194,224,3374
2017-07-07 16:37:00,1864,153,1967
2017-07-07 16:37:30,5563,174,5707
2017-07-07 16:38:00,3295,153,3444
2017-07-07 16:38:30,5231,105,5189
2017-07-07 16:39:00,5776,182,5828
2017-07-07 16:39:30,4978,313,5259
2017-07-07 16:40:00,5347,497,5789
2017-07-07 16:40:30,4241,260,4443
2017-07-07 16:41:00,5172,136,4994
2017-07-07 16:41:30,3986,157,4136
2017-07-07 16:42:00,4085,186,4255
2017-07-07 16:42:30,2148,172,2318
2017-07-07 16:43:00,4500,185,4675
2017-07-07 16:43:30,3921,144,3877
2017-07-07 16:44:00,5325,188,5499
2017-07-07 16:44:30,7190,172,7257
2017-07-07 16:45:00,34314,428,34597
2017-07-07 16:45:30,7744,437,8172
2017-07-07 16:46:00,3912,143,4022
2017-07-07 16:46:30,4886,242,5113
2017-07-07 16:47:00,3133,158,3199
2017-07-07 16:47:30,6506,212,6333
2017-07-07 16:48:00,5773,239,5975
2017-07-07 16:48:30,1515,200,1638
2017-07-07 16:49:00,4551,210,4710
2017-07-07 16:49:30,3668,197,3857
2017-07-07 16:50:00,5119,133,5152
2017-07-07 16:50:30,5799,442,6218
2017-07-07 16:51:00,2341,137,2463
2017-07-07 16:51:30,3816,162,3974
2017-07-07 16:52:00,4104,122,4221
